Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
04:44:37:12.846,61,0.0626913011,0.1465318352,0.0000000000,0.1811645031,0.0000000000,0.0000000000,0.0000000000,0.0627410114,0.1435149759,0.2258239836,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0241528582,0.0197703019,0.0000000000,0.0251608174,0.0197385475,0.0569507480,0.1181219295,0.0096462620,0.0000000000,0.0000000000,0.0000000000,0.1750976145,0.1848073304,0.0026186365,0.0034624573,0.0828368142,0.0713613555,0.0202295482,0.0055308007,0.1042815074,0.0502513684,0.0213494785,0.0240842160,0.0168294180,0.0140587902,0.0030425035,0.0011069176,0.0000000000,0.0000000000,0.0508363321,0.0432347842,0.0430253781,0.0785120651,0.0000000000,0.0000000000,0.0382589959,0.0274946056,0.0000004266,0.0000000000,0.0000000000,0.0000000000,-0.1247773319,0.0749599785,-0.0263311639,-0.1249781922,0.0749670640,-0.0216670111
04:44:37:13.847,61,0.0635502562,0.1446586400,0.0000000000,0.1702435166,0.0000000000,0.0000000000,0.0000000000,0.0635958090,0.1418091804,0.2139420360,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0244641975,0.0204612296,0.0000000000,0.0243149083,0.0187764019,0.0563235991,0.1173025072,0.0104492335,0.0000000000,0.0000000000,0.0000000000,0.1901217848,0.2016193569,0.0022996557,0.0030936911,0.0829977170,0.0711491704,0.0206272434,0.0051981206,0.1092932299,0.0541021265,0.0218071975,0.0246534199,0.0161189828,0.0132792359,0.0029920151,0.0010179917,0.0000000000,0.0000000000,0.0504346602,0.0402964763,0.0401259363,0.0786296949,0.0000000000,0.0000000000,0.0378100425,0.0269829594,0.0000009117,0.0000000000,0.0000000000,0.0000000000,-0.1182140857,0.0738827884,-0.0249615125,-0.1184341535,0.0738900676,-0.0203591492
04:44:37:14.849,61,0.0634795725,0.1424863189,0.0000000000,0.1512223184,0.0000000000,0.0000000000,0.0000000000,0.0635265782,0.1399133652,0.1933326870,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0256019998,0.0210305639,0.0000000000,0.0236871820,0.0180472806,0.0556614250,0.1162176207,0.0110323010,0.0000000000,0.0000000000,0.0000000000,0.2221281379,0.2263523638,0.0019637747,0.0027038890,0.0836105496,0.0713865086,0.0211982615,0.0048487997,0.1153904423,0.0594418868,0.0224151146,0.0254690107,0.0156163266,0.0127070118,0.0029103777,0.0009158507,0.0000000000,0.0000000000,0.0498899147,0.0365982801,0.0364335105,0.0785603449,0.0000000000,0.0000000000,0.0373576619,0.0265527498,0.0000009973,0.0000000000,0.0000000000,0.0000000000,-0.1068093479,0.0725807995,-0.0227026083,-0.1070213541,0.0725881830,-0.0181650110
04:44:37:15.850,61,0.0630619973,0.1424951255,0.0000000000,0.1397197247,0.0000000000,0.0000000000,0.0000000000,0.0631117523,0.1400778145,0.1808845252,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0271570329,0.0216131099,0.0000000000,0.0233424753,0.0176237430,0.0550080165,0.1134290993,0.0117300414,0.0000000000,0.0000000000,0.0000000000,0.2212610692,0.2292686254,0.0017728156,0.0024706118,0.0874671787,0.0727496594,0.0218705628,0.0046480680,0.1176384613,0.0613955334,0.0230736993,0.0264573898,0.0155734764,0.0125278337,0.0027957351,0.0007792027,0.0000000000,0.0000000000,0.0493364148,0.0351477228,0.0349877514,0.0783205852,0.0000000000,0.0000000000,0.0368015021,0.0260414500,0.0000010526,0.0000000000,0.0000000000,0.0000000000,-0.0999011099,0.0724754184,-0.0214502364,-0.1001071632,0.0724828914,-0.0169086866
04:44:37:16.851,61,0.0623796061,0.1429669261,0.0000000000,0.1348588765,0.0000000000,0.0000000000,0.0000000000,0.0624356307,0.1406113952,0.1756497473,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0281587616,0.0222146735,0.0000000000,0.0231758412,0.0174041558,0.0546654612,0.1120571718,0.0123812845,0.0000000000,0.0000000000,0.0000000000,0.2199154794,0.2289912701,0.0016264456,0.0022976880,0.0897747725,0.0739015266,0.0225315448,0.0044904831,0.1186301261,0.0623670183,0.0236270595,0.0271901675,0.0156573895,0.0124740424,0.0026909648,0.0006503697,0.0000000000,0.0000000000,0.0486296341,0.0340638682,0.0339079499,0.0781438872,0.0000000000,0.0000000000,0.0362854563,0.0255607478,0.0000008195,0.0000000000,0.0000000000,0.0000000000,-0.0969898999,0.0726703554,-0.0209579095,-0.0971818194,0.0726778284,-0.0163973831
04:44:37:17.853,61,0.0620256960,0.1407173127,0.0000000000,0.1267438531,0.0000000000,0.0000000000,0.0000000000,0.0620834678,0.1384872049,0.1668435484,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0287209488,0.0227634534,0.0000000000,0.0229722969,0.0171677899,0.0543163829,0.1104371697,0.0130196763,0.0000000000,0.0000000000,0.0000000000,0.2106785476,0.2216101587,0.0014730713,0.0021183258,0.0909394622,0.0746088848,0.0229773726,0.0042869826,0.1188729033,0.0628110617,0.0240012910,0.0276754517,0.0156524517,0.0123465313,0.0026247983,0.0005524649,0.0000000000,0.0000000000,0.0470363125,0.0293567199,0.0292214639,0.0778545514,0.0000000000,0.0000000000,0.0358463302,0.0251416340,0.0000003914,0.0000000000,0.0000000000,0.0000000000,-0.0921312124,0.0714629889,-0.0199140999,-0.0923196375,0.0714705363,-0.0154243018
04:44:37:18.855,61,0.0622354709,0.1388834566,0.0000000000,0.1249009967,0.0000000000,0.0000000000,0.0000000000,0.0622945614,0.1366898566,0.1648615301,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0287754070,0.0230793133,0.0000000000,0.0227344576,0.0169102941,0.0542608313,0.1098676696,0.0133731049,0.0000000000,0.0000000000,0.0000000000,0.2033939064,0.2149241269,0.0012870661,0.0019032846,0.0911161825,0.0747682601,0.0231828913,0.0040371534,0.1188946441,0.0630533695,0.0242982507,0.0280029625,0.0153580513,0.0120227607,0.0025907308,0.0004926347,0.0000000000,0.0000000000,0.0461083949,0.0263913758,0.0262580477,0.0779922828,0.0000000000,0.0000000000,0.0355542190,0.0248175599,0.0000003737,0.0000000000,0.0000000000,0.0000000000,-0.0910537541,0.0705205351,-0.0195885357,-0.0912241563,0.0705280975,-0.0151547669
04:44:37:19.856,61,0.0627741516,0.1353632808,0.0000000000,0.1108230203,0.0000000000,0.0000000000,0.0000000000,0.0628337041,0.1333805174,0.1495749950,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0286885221,0.0233048536,0.0000000000,0.0223743562,0.0165440813,0.0542027280,0.1093627438,0.0136945425,0.0000000000,0.0000000000,0.0000000000,0.2009612471,0.2128144354,0.0010539854,0.0016330716,0.0908197910,0.0746240169,0.0232590549,0.0037240803,0.1190389171,0.0634122863,0.0245578550,0.0282562468,0.0149409156,0.0115879346,0.0025905957,0.0004621073,0.0000000000,0.0000000000,0.0454343408,0.0232727006,0.0231480021,0.0780761018,0.0000000000,0.0000000000,0.0354174748,0.0246193726,0.0000003392,0.0000000000,0.0000000000,0.0000000000,-0.0826081336,0.0686338395,-0.0178398248,-0.0827799067,0.0686415657,-0.0135177029
04:44:37:20.859,61,0.0635725856,0.1328922957,0.0000000000,0.0997110605,0.0000000000,0.0000000000,0.0000000000,0.0636421219,0.1310712993,0.1375165731,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0282339472,0.0232626591,0.0000000000,0.0220582262,0.0162289701,0.0542258695,0.1093217432,0.0136939250,0.0000000000,0.0000000000,0.0000000000,0.1924795359,0.2046971321,0.0008191169,0.0013608285,0.0881901905,0.0741223022,0.0231661275,0.0034219185,0.1189366654,0.0635645762,0.0246856082,0.0283447281,0.0143504543,0.0110407891,0.0026037176,0.0004603965,0.0000000000,0.0000000000,0.0446218625,0.0207518525,0.0206355285,0.0783574954,0.0000000000,0.0000000000,0.0354513861,0.0246120803,0.0000004135,0.0000000000,0.0000000000,0.0000000000,-0.0759387016,0.0673104227,-0.0165017676,-0.0761090666,0.0673182681,-0.0122573636
04:44:37:21.860,61,0.0643456653,0.1290759742,0.0000000000,0.0904041678,0.0000000000,0.0000000000,0.0000000000,0.0644192249,0.1274012476,0.1272689998,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0273829065,0.0231030844,0.0000000000,0.0217143297,0.0159171484,0.0541496463,0.1092472449,0.0137536321,0.0000000000,0.0000000000,0.0000000000,0.1700923592,0.1859233379,0.0006116010,0.0011044433,0.0856802464,0.0733394697,0.0230230708,0.0031350243,0.1185567454,0.0635272563,0.0247426163,0.0283502042,0.0137902377,0.0105237765,0.0026468956,0.0004800918,0.0000000000,0.0000000000,0.0441854671,0.0193918440,0.0192753300,0.0784932598,0.0000000000,0.0000000000,0.0356982984,0.0247465372,0.0000004534,0.0000000000,0.0000000000,0.0000000000,-0.0702858940,0.0653266460,-0.0152773522,-0.0705278218,0.0653346702,-0.0111673754
04:44:37:22.862,61,0.0648352280,0.1305153519,0.0000000000,0.0925692022,0.0000000000,0.0000000000,0.0000000000,0.0649118870,0.1288056076,0.1295742840,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0266485028,0.0230012890,0.0000000000,0.0215100367,0.0157953147,0.0542716980,0.1093278155,0.0136956936,0.0000000000,0.0000000000,0.0000000000,0.1234358326,0.1335136592,0.0005142179,0.0009862464,0.0845503435,0.0728652477,0.0227857418,0.0029698722,0.1140717268,0.0619535446,0.0248062685,0.0283810701,0.0135313608,0.0103108808,0.0026374566,0.0004647313,0.0000000000,0.0000000000,0.0437825844,0.0187231246,0.0186038800,0.0787449405,0.0000000000,0.0000000000,0.0359483659,0.0249543246,0.0000006162,0.0000000000,0.0000000000,0.0000000000,-0.0715519041,0.0660661012,-0.0155855212,-0.0718238205,0.0660740659,-0.0114344638
04:44:37:23.863,61,0.0654025748,0.1335957795,0.0000000000,0.0973349363,0.0000000000,0.0000000000,0.0000000000,0.0654811561,0.1318053454,0.1348017454,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0255512018,0.0228718799,0.0000000000,0.0213487521,0.0157712828,0.0541209802,0.1089070514,0.0135612972,0.0000000000,0.0000000000,0.0000000000,0.0944641754,0.1056894138,0.0005240485,0.0009898579,0.0835899487,0.0722752064,0.0223270003,0.0029043839,0.0858829170,0.0497910865,0.0246457700,0.0281948280,0.0135444654,0.0103382971,0.0026050517,0.0004379519,0.0000000000,0.0000000000,0.0431255177,0.0183319133,0.0182070006,0.0785059258,0.0000000000,0.0000000000,0.0362991840,0.0253052898,0.0000006240,0.0000000000,0.0000000000,0.0000000000,-0.0744232684,0.0676508248,-0.0162799973,-0.0746758282,0.0676586851,-0.0120265763
