,Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Quaterion_0,Quaterion_1,Quaterion_2,Quaterion_3
166,0.0,0.0,0.0,0.0,0.0,0.0,-0.9534,-0.0726,-0.2429,0.5718,-0.3458,0.6879,0.2834
167,0.0,0.0,0.0,0.0,0.0,0.0,-0.9631,-0.1112,-0.2346,0.5727,-0.3459,0.6870,0.2835
168,0.0,0.0,0.0,0.0,0.0,0.0,-0.9462,-0.0882,-0.2342,0.5733,-0.3460,0.6865,0.2833
169,0.0,0.0,0.0,0.0,0.0,0.0,-0.9360,-0.0476,-0.2425,0.5736,-0.3459,0.6866,0.2827
170,0.0,0.0,0.0,0.0,0.0,0.0,-0.9384,-0.0289,-0.2552,0.5736,-0.3454,0.6872,0.2817
171,0.0,0.0,0.0,0.0,0.0,0.0,-0.9445,-0.0397,-0.2567,0.5734,-0.3446,0.6881,0.2809
172,0.0,0.0,0.0,0.0,0.0,0.0,-0.9487,-0.0602,-0.2550,0.5734,-0.3441,0.6887,0.2803
173,0.0,0.0,0.0,0.0,0.0,0.0,-0.9598,-0.0687,-0.2490,0.5735,-0.3438,0.6890,0.2797
174,0.0,0.0,0.0,0.0,0.0,0.0,-0.9596,-0.0683,-0.2432,0.5737,-0.3436,0.6892,0.2791
175,0.0,0.0,0.0,0.0,0.0,0.0,-0.9524,-0.0697,-0.2439,0.5741,-0.3435,0.6890,0.2788
176,0.0,0.0,0.0,0.0,0.0,0.0,-0.9476,-0.0696,-0.2421,0.5745,-0.3434,0.6888,0.2784
177,0.0,0.0,0.0,0.0,0.0,0.0,-0.9494,-0.0697,-0.2401,0.5753,-0.3433,0.6885,0.2778
178,0.0,0.0,0.0,0.0,0.0,0.0,-0.9500,-0.0746,-0.2392,0.5761,-0.3432,0.6879,0.2776
179,0.0,0.0,0.0,0.0,0.0,0.0,-0.9487,-0.0809,-0.2394,0.5769,-0.3430,0.6877,0.2767
180,0.0,0.0,0.0,0.0,0.0,0.0,-0.9529,-0.0771,-0.2372,0.5776,-0.3429,0.6875,0.2759
181,0.0,0.0,0.0,0.0,0.0,0.0,-0.9556,-0.0635,-0.2408,0.5781,-0.3428,0.6875,0.2751
